,container_type,filled,scholar_id,source,name,url_picture,affiliation,interests,email_domain,homepage,citedby,organization,org_name,org_country
262,Author,['basics'],OlLjVUcAAAAJ,AUTHOR_PROFILE_PAGE,Cheng Yang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=OlLjVUcAAAAJ&citpid=3,Beijing University of Posts and Telecommunications,"['Network Representation Learning', 'Graph Neural Networks']",@mails.tsinghua.edu.cn,,7914,,,
263,Author,['basics'],sKV5uYcAAAAJ,AUTHOR_PROFILE_PAGE,zhang jun,,Huawei Technologies France,"['wireless networks', 'security', 'intelligent transportation systems']",@huawei.com,,1083,1953016339157211197,Huawei Technologies,China
264,Author,['basics'],fAxws1sAAAAJ,AUTHOR_PROFILE_PAGE,Daniel Cohen-Or,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fAxws1sAAAAJ&citpid=4,"Professor of Computer Science, Tel Aviv University","['Graphics', 'Imaging', 'Geometric Modeling']",@tau.ac.il,http://www.cs.tau.ac.il/~dcor/,55765,9075954459355007474,Tel Aviv University,Israel
265,Author,['basics'],n44GlFcAAAAJ,AUTHOR_PROFILE_PAGE,Jianguo Li,,"Director, Ant Group","['machine learning & system', 'deep learning', 'computer vision']",@antgroup.com,https://sites.google.com/site/leeplus/,9194,,,
266,Author,['basics'],G8x97ZgAAAAJ,AUTHOR_PROFILE_PAGE,Peng Cui,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=G8x97ZgAAAAJ&citpid=2,"Department of Computer Science, Tsinghua University","['data mining', 'machine learning', 'multimedia']",@tsinghua.edu.cn,http://pengcui.thumedialab.com/,20112,15442380624744264287,Tsinghua University,China
267,Author,['basics'],lzfVm_8AAAAJ,AUTHOR_PROFILE_PAGE,Olga Ohrimenko,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lzfVm_8AAAAJ&citpid=1,"Associate Professor, School of Computing and Information Systems, The University of Melbourne","['Security', 'Cryptography', 'Data Analysis', 'Machine Learning', 'Differential Privacy']",,,3500,,,
268,Author,['basics'],z-Y6a00AAAAJ,AUTHOR_PROFILE_PAGE,Chenyu Huang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=z-Y6a00AAAAJ&citpid=2,Hong Kong University of Science and Technology,"['IoT Security', 'Blockchain', 'Federated Learning', 'MPC']",@connect.ust.hk,,539,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
269,Author,['basics'],tUq_v90AAAAJ,AUTHOR_PROFILE_PAGE,Chuan Shi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=tUq_v90AAAAJ&citpid=3,Beijing University of Posts and Telecommunications,"['data mining', 'machine learning', 'social network analysis']",@bupt.edu.cn,http://www.shichuan.org/,13598,8426264526679338639,Beijing University of Posts and Telecommunications,China
270,Author,['basics'],-Ve9sJ0AAAAJ,AUTHOR_PROFILE_PAGE,Pascal Frossard,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-Ve9sJ0AAAAJ&citpid=3,"Ecole Polytechnique Fédérale de Lausanne, EPFL","['machine learning', 'image processing', 'computer vision', 'multimedia communications']",@epfl.ch,http://lts4.epfl.ch/frossard,29544,16539297749990713900,Swiss Federal Institute of Technology in Lausanne,Switzerland
271,Author,['basics'],RXrifC8AAAAJ,AUTHOR_PROFILE_PAGE,Hugues Hoppe,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RXrifC8AAAAJ&citpid=6,Computer science researcher,"['Computer Graphics', 'Geometry Processing', 'Geometric Modeling', 'Computer Vision']",@acm.org,https://hhoppe.com/,45289,,,
272,Author,['basics'],Wc8IvR4AAAAJ,AUTHOR_PROFILE_PAGE,Wei Chen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Wc8IvR4AAAAJ&citpid=3,"Professor of Computer Science, Nanjing University of Posts and Telecommunications",['Network Security'],@njupt.edu.cn,,1302,16347907618724258091,Nanjing University of Posts and Telecommunications,China
273,Author,['basics'],5bHQE-UAAAAJ,AUTHOR_PROFILE_PAGE,Hongfei Fu,,Shanghai Jiao Tong University,"['model checking', 'program verification']",@cs.sjtu.edu.cn,http://jhc.sjtu.edu.cn/~hongfeifu/,703,11817969702535318711,Shanghai Jiao Tong University,China
274,Author,['basics'],oUwEYt4AAAAJ,AUTHOR_PROFILE_PAGE,Wolfgang Bein,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=oUwEYt4AAAAJ&citpid=1,"Professor of Computer Science, University of Nevada Las Vegas","['algorithms', 'combinatorial optimization', 'airline optimization', 'green computing', 'open source']",@unlv.edu,http://www.egr.unlv.edu/~bein/,1047,17605552158869246793,"University of Nevada, Las Vegas",USA
275,Author,['basics'],WGggocoAAAAJ,AUTHOR_PROFILE_PAGE,Rahul Krishna,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=WGggocoAAAAJ&citpid=12,"Research Staff Member :: IBM Research, Yorktown Heights, NY","['Hybrid Cloud', 'Software engineering', 'Software Security', 'Software Testing', 'Machine Learning']",@ibm.com,http://rkrsn.us/,1033,,,
276,Author,['basics'],JEieoFsAAAAJ,AUTHOR_PROFILE_PAGE,Yang (Veronica) Liu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=JEieoFsAAAAJ&citpid=10,Associate Professor at Tsinghua University,"['federated learning', 'Trustworthy AI', 'Data science', 'statistical mechanics', 'simulation']",@air.tsinghua.edu.cn,https://sites.google.com/site/yangliuveronica/,14605,15442380624744264287,Tsinghua University,China
277,Author,['basics'],t8S1O40AAAAJ,AUTHOR_PROFILE_PAGE,Yuya HIGASHIKAWA,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=t8S1O40AAAAJ&citpid=3,University of Hyogo,"['Algorithms', 'Combinatorial Optimization', 'Operations Research']",@sis.u-hyogo.ac.jp,,301,5258955896348145441,University of Hyogo,Japan
278,Author,['basics'],gtglwgYAAAAJ,AUTHOR_PROFILE_PAGE,Lei Chen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=gtglwgYAAAAJ&citpid=3,Hong Kong University of Science and Technology,"['Human Powered Machine Learning', 'Databases', 'Data Mining']",@cse.ust.hk,http://www.cse.ust.hk/~leichen,24800,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
279,Author,['basics'],NrOA9QoAAAAJ,AUTHOR_PROFILE_PAGE,Hao Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NrOA9QoAAAAJ&citpid=1,"Assistant Professor of Computer Science, Rutgers University","['Statistical Machine Learning', 'Deep Learning', 'Bayesian Deep Learning', 'ML4Health', 'Recommender Systems / Data Mining']",@mit.edu,http://www.wanghao.in/,13542,,,
280,Author,['basics'],R-cYDcIAAAAJ,AUTHOR_PROFILE_PAGE,Zhixian Chen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=R-cYDcIAAAAJ&citpid=5,HKUST,[],@connect.ust.hk,,15,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
281,Author,['basics'],8rnvCfgAAAAJ,AUTHOR_PROFILE_PAGE,William L. Steiger,,"Professor of Computer Science, Rutgers University","['combinatorial geometry', 'probability', 'anthropologyy', 'optimization']",@cs.rutgers.edu,http://cs.rutgers.edu/~steiger,3089,3903766639137847059,Rutgers University,USA
282,Author,['basics'],k0rEJKcAAAAJ,AUTHOR_PROFILE_PAGE,Xintong Yu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=k0rEJKcAAAAJ&citpid=1,Tsinghua University,"['Vision-Language Multimodal Learning', 'Dialogue System']",@mails.tsinghua.edu.cn,,96,15442380624744264287,Tsinghua University,China
283,Author,['basics'],iDEgcFQAAAAJ,AUTHOR_PROFILE_PAGE,Andrew Lim,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=iDEgcFQAAAAJ&citpid=4,"Chief Scientist, Red Jasper Holdings and various companies; Prof SWTJU","['Transportation Research', 'Operations Research', 'Management Science', 'Analytics']",@limandrew.org,https://www.limandrew.org/,15186,,,
284,Author,['basics'],Z7d93ZYAAAAJ,AUTHOR_PROFILE_PAGE,Michele Zorzi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Z7d93ZYAAAAJ&citpid=3,"Dept. of Information Engineering - University of Padova, Italy","['electrical engineering', 'networking', 'wireless communications', 'wireless networks']",@dei.unipd.it,,49373,17347040822771261636,University of Padova,Italy
285,Author,['basics'],eNtNT2gAAAAJ,AUTHOR_PROFILE_PAGE,Ka Leong Cheng,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=eNtNT2gAAAAJ&citpid=1,HKUST,['computer vision'],@connect.ust.hk,https://felixcheng97.github.io/,206,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
286,Author,['basics'],PA9La6oAAAAJ,AUTHOR_PROFILE_PAGE,Panos Ipeirotis,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=PA9La6oAAAAJ&citpid=3,New York Univesity,"['Crowdsourcing', 'Data Quality', 'Text Mining', 'Human-AI']",@stern.nyu.edu,http://www.ipeirotis.org/,27817,17630047345716507964,New York University,USA
287,Author,['basics'],FksnFr0AAAAJ,AUTHOR_PROFILE_PAGE,Yongguang Zhang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FksnFr0AAAAJ&citpid=2,Microsoft Research,"['Networking', 'Systems', 'Mobile', 'Wireless']",@microsoft.com,https://www.microsoft.com/en-us/research/people/ygz/,16557,,,
288,Author,['basics'],QQq52JcAAAAJ,AUTHOR_PROFILE_PAGE,Jianwei Huang (黄建伟),https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QQq52JcAAAAJ&citpid=6,"Presidential Chair Professor and Associate Vice President, CUHK Shenzhen; IEEE TNSE Editor-in-Chief","['Network Economics', 'Game Theory', 'Network Optimization', 'Wireless Networking', 'Smart Grid']",@cuhk.edu.cn,http://jianwei.cuhk.edu.cn/,16851,,,
289,Author,['basics'],k9nkzd8AAAAJ,AUTHOR_PROFILE_PAGE,Stefaan De Winter,,National Science Foundation,['Combinatorics'],@nsf.gov,,305,6993382888756167277,US National Science Foundation,USA
290,Author,['basics'],6P6EnQkAAAAJ,AUTHOR_PROFILE_PAGE,Guanfeng Liu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=6P6EnQkAAAAJ&citpid=2,Macquarie University,"['database', 'graph mining', 'social network']",@mq.edu.au,,3831,15211955218694959468,Macquarie University,Australia
291,Author,['basics'],Qns-6okAAAAJ,AUTHOR_PROFILE_PAGE,Shuxing Li,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Qns-6okAAAAJ&citpid=8,University of Delaware,"['Combinatorics', 'Coding Theory', 'Combinatorial Design Theory', 'Compressed Sensing', 'Finite Geometry']",@udel.edu,https://sites.google.com/view/shuxingli,992,9340941294191691364,University of Delaware,USA
292,Author,['basics'],ofeHgckAAAAJ,AUTHOR_PROFILE_PAGE,Bo Zhang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ofeHgckAAAAJ&citpid=2,School of Software and Applications Technologies,"['wireless ad hoc network', 'wireless video broadcasting', 'video learning']",@zzu.edu.cn,,246,,,
293,Author,['basics'],dwxm_CoAAAAJ,AUTHOR_PROFILE_PAGE,M. Tamer Özsu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dwxm_CoAAAAJ&citpid=2,"University Professor, University of Waterloo","['Database systems', 'Distributed systems']",@uwaterloo.ca,https://cs.uwaterloo.ca/~tozsu,23240,12436753108180256887,University of Waterloo,Canada
294,Author,['basics'],c6PP_1oAAAAJ,AUTHOR_PROFILE_PAGE,Wuzhou Zhang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=c6PP_1oAAAAJ&citpid=3,Senior Software Engineer at Apple Inc.,['Geometric algorithms'],@cs.duke.edu,http://www.cs.duke.edu/~wuzhou/,326,,,
295,Author,['basics'],7bEQ7XkAAAAJ,AUTHOR_PROFILE_PAGE,Pengfei Zhou,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=7bEQ7XkAAAAJ&citpid=14,University of Pittsburgh,"['Mobile', 'Sensing', 'AIoT', 'Networking']",@pitt.edu,https://zhoupf.github.io/,1598,14719441169074583706,University of Pittsburgh,USA
296,Author,['basics'],0RAmmIAAAAAJ,AUTHOR_PROFILE_PAGE,Kyunghyun Cho,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0RAmmIAAAAAJ&citpid=6,"New York University, Genentech","['Machine Learning', 'Deep Learning']",@nyu.edu,https://www.kyunghyuncho.me/,135288,17630047345716507964,New York University,USA
297,Author,['basics'],j_y67gEAAAAJ,AUTHOR_PROFILE_PAGE,Minghui Li,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=j_y67gEAAAAJ&citpid=3,Huazhong University of Science and Technology,['AI Security'],@hust.edu.cn,,405,7177955212759034238,Huazhong University of Science and Technology,China
298,Author,['basics'],_2UkAYEAAAAJ,AUTHOR_PROFILE_PAGE,Jim Whitehead,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_2UkAYEAAAAJ&citpid=2,"Professor of Computer Science, University of California, Santa Cruz","['Software Engineering', 'Computer Games']",@cs.ucsc.edu,http://www.cs.ucsc.edu/~ejw,10685,6192028974562668508,"University of California, Santa Cruz",USA
299,Author,['basics'],L_umegQAAAAJ,AUTHOR_PROFILE_PAGE,hao zhu,,Huazhong University of Science and Technology,[],@hust.edu.cn,,360,7177955212759034238,Huazhong University of Science and Technology,China
300,Author,['basics'],vNCnDiMAAAAJ,AUTHOR_PROFILE_PAGE,‪Siyu Zhu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vNCnDiMAAAAJ&citpid=3,"Director, Alibaba Group","['Computer Vision', 'Machine Learning']",@alibaba-inc.com,https://sites.google.com/site/zhusiyucs/home,3031,,,
301,Author,['basics'],RMSuNFwAAAAJ,AUTHOR_PROFILE_PAGE,Yi Yang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RMSuNFwAAAAJ&citpid=9,Zhejiang University,"['multimedia', 'computer vision', 'machine learning']",@zju.edu.cn,http://reler.net/,61019,1118375729466322660,Zhejiang University,China
302,Author,['basics'],P6fwn4AAAAAJ,AUTHOR_PROFILE_PAGE,Zheng Li,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=P6fwn4AAAAAJ&citpid=2,"Senior Applied Scientist, Amazon Search","['Transfer Learning', 'Deep Learning', 'Natural Language Processing']",@connect.ust.hk,https://hsqmlzno1.github.io/,954,,,
303,Author,['basics'],CzfuSJgAAAAJ,AUTHOR_PROFILE_PAGE,Ahmed M. Abdelmoniem,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=CzfuSJgAAAAJ&citpid=7,"Assistant Professor, QMUL","['Distributed Systems', 'Computer Networks', 'Machine Learning', 'Federated Learning']",@qmul.ac.uk,http://eecs.qmul.ac.uk/~ahmed,932,11628095156398365105,Queen Mary University of London,UK
304,Author,['basics'],hMGA3ZQAAAAJ,AUTHOR_PROFILE_PAGE,Jiajie Xu,,Soochow University,['Database'],@nfs.iscas.ac.cn,http://ada.suda.edu.cn/~xujj/,3620,,,
305,Author,['basics'],fPrbYiEAAAAJ,AUTHOR_PROFILE_PAGE,Mercan Topkara,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=fPrbYiEAAAAJ&citpid=2,"Hashtag In Real Life, Sounder FM, Podnods, Luminary Media, TPT, JW Player, IBM Research, Purdue","['AI', 'ML', 'NLP', 'Big Data Analytics', 'Social Software for Enterprise']",@us.ibm.com,https://www.linkedin.com/in/mercan/,2223,,,
306,Author,['basics'],gK_Cw9kAAAAJ,AUTHOR_PROFILE_PAGE,Algirdas Pakštas,,Sumy State University,['Communications Software Engineering'],@ieee.org,,255,,,
307,Author,['basics'],VzESVx0AAAAJ,AUTHOR_PROFILE_PAGE,Qin Zhang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=VzESVx0AAAAJ&citpid=2,Indiana University Bloomington,"['Big Data Analytics', 'Algorithms', 'Databases', 'Machine Learning', 'Data Mining']",@indiana.edu,http://homes.soic.indiana.edu/qzhangcs/,2643,18243465982490009522,Indiana University,USA
308,Author,['basics'],tDWLpawAAAAJ,AUTHOR_PROFILE_PAGE,Junxue Zhang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=tDWLpawAAAAJ&citpid=5,Hong Kong University of Science and Technology,"['Data Center Networking', 'AI System', 'Privacy Preserving Computation']",@cse.ust.hk,http://snowzjx.me/,589,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
309,Author,['basics'],FCP02DYAAAAJ,AUTHOR_PROFILE_PAGE,Leonard Cimini,,"Professor of Electrical and Computer Engineering, University of Delaware",['wireless communications and networks'],@udel.edu,,26810,9340941294191691364,University of Delaware,USA
310,Author,['basics'],wA8cW5QAAAAJ,AUTHOR_PROFILE_PAGE,Shuangjie Xu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=wA8cW5QAAAAJ&citpid=4,HKUST,"['Machine Learning', 'Deep Learning', 'Compute Vision']",@connect.ust.hk,https://shuangjiexu.github.io/,1241,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
311,Author,['basics'],zIMEVKsAAAAJ,AUTHOR_PROFILE_PAGE,Jian Pei,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zIMEVKsAAAAJ&citpid=4,"Arthur S. Pearse Distinguished Professor, Duke University","['Data mining', 'big data analytics', 'database systems', 'information retrieval']",@cs.sfu.ca,http://www.cs.sfu.ca/~jpei/,123618,,,
312,Author,['basics'],OG2QONwAAAAJ,AUTHOR_PROFILE_PAGE,David Choffnes,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=OG2QONwAAAAJ&citpid=4,"Associate Professor, Northeastern University","['Networking', 'Distributed Systems', 'Privacy', 'Mobile/IoT', 'Security']",@ccs.neu.edu,https://david.choffnes.com/,7114,55793137512334013,"Northeastern University, Boston",USA
313,Author,['basics'],4e_oC3UAAAAJ,AUTHOR_PROFILE_PAGE,Shaozu CAO,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4e_oC3UAAAAJ&citpid=2,The Hong Kong University of Science and Technology,"['Robotics', 'SLAM', 'Computer Vision', 'Perception']",@connect.ust.hk,,864,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
314,Author,['basics'],NwoNqygAAAAJ,AUTHOR_PROFILE_PAGE,Fan Wu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NwoNqygAAAAJ&citpid=3,"Professor, Department of Computer Science and Engineering, Shanghai Jiao Tong University","['Wireless Networking', 'Mobile Computing', 'Algorithmic Game Theory and Its Applications']",@cs.sjtu.edu.cn,http://www.cs.sjtu.edu.cn/~fwu/index.html,6614,11817969702535318711,Shanghai Jiao Tong University,China
315,Author,['basics'],5I0mFcsAAAAJ,AUTHOR_PROFILE_PAGE,Nan Cao,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=5I0mFcsAAAAJ&citpid=5,Intelligent Big Data Visualization Lab @ Tongji University,"['Visual Analytics', 'Information Visualization', 'Visualization', 'Human-Computer Interaction']",@tongji.edu.cn,http://nancao.org/,5082,9225372212369377400,Tongji University,China
316,Author,['basics'],XM4QrScAAAAJ,AUTHOR_PROFILE_PAGE,Hung-Kuo Chu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=XM4QrScAAAAJ&citpid=6,"Professor of Computer Science, National Tsing Hua University (NTHU)","['Shape Analysis', 'Smart Manipulation', 'Non-Photorealistic Rendering', 'Human Computer Interaction', 'Visual']",@cs.nthu.edu.tw,http://cgv.cs.nthu.edu.tw/hkchu/,2019,3696850180452525172,National Tsing Hua University,Taiwan
317,Author,['basics'],VbThKw8AAAAJ,AUTHOR_PROFILE_PAGE,Weichao Li,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=VbThKw8AAAAJ&citpid=1,Peng Cheng Laboratory,"['Network Measurement', 'Mobile Computing']",@pcl.ac.cn,https://liweichao.github.io/,430,,,
318,Author,['basics'],BwHhps0AAAAJ,AUTHOR_PROFILE_PAGE,Jing Zhu,,Intel,[],@intel.com,,3570,13927508431068359400,Intel Corporation,USA
319,Author,['basics'],5ojW7_UAAAAJ,AUTHOR_PROFILE_PAGE,Yuan He,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=5ojW7_UAAAAJ&citpid=3,Tsinghua University,"['Internet of Things', 'Wireless Network and Communication', 'Mobile and Ubiquitous Computing']",@greenorbs.com,http://tns.thss.tsinghua.edu.cn/sun/members/YuanHe/,5376,,,
320,Author,['basics'],kTZhR2EAAAAJ,AUTHOR_PROFILE_PAGE,Zeng Wei,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kTZhR2EAAAAJ&citpid=11,The Hong Kong University of Science and Technology (Guangzhou),"['Visualization', 'Visual Analytics', 'AR/VR', 'HCI']",@ust.hk,http://zeng-wei.com/,1478,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
321,Author,['basics'],AjYkTi8AAAAJ,AUTHOR_PROFILE_PAGE,Bolin Ding,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=AjYkTi8AAAAJ&citpid=2,Alibaba Group,"['Databases', 'Data Privacy', 'Machine Learning']",@alibaba-inc.com,https://bolinding.github.io/,9553,,,
322,Author,['basics'],eEYPTKUAAAAJ,AUTHOR_PROFILE_PAGE,Roberto Tamassia,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=eEYPTKUAAAAJ&citpid=1,"Plastech Professor of Computer Science, Brown University","['algorithhms', 'computer security', 'applied cryptography', 'graph drawing', 'information visualization']",@cs.brown.edu,https://tamassia.net/,26283,9565289731625918571,Brown University,USA
323,Author,['basics'],ZRbRQ0cAAAAJ,AUTHOR_PROFILE_PAGE,Meng Cao,,Peking University,['Computer Vision'],@pku.edu.cn,,346,10725744176602846184,Peking University,China
324,Author,['basics'],Ek8r82kAAAAJ,AUTHOR_PROFILE_PAGE,Yajun Wang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Ek8r82kAAAAJ&citpid=3,Microsoft Corporation,"['Algorithm', 'Game theory', 'Computational Geometry']",@microsoft.com,,10547,12331530069074480064,Microsoft Corporation,USA
325,Author,['basics'],gfAdVBwAAAAJ,AUTHOR_PROFILE_PAGE,DongGyun Han,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=gfAdVBwAAAAJ&citpid=2,"Royal Holloway, University of London",['Software Engineering'],@rhul.ac.uk,https://donggyun.com/,633,9868286240044801495,"Royal Holloway, University of London",UK
326,Author,['basics'],4LsZhDgAAAAJ,AUTHOR_PROFILE_PAGE,Xiaopeng Fan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4LsZhDgAAAAJ&citpid=2,"Professor, Harbin Institute of Technology","['Video/Image', 'Wireless']",@hit.edu.cn,http://homepage.hit.edu.cn/pages/xiaopengfan/2,2555,4726995703083099959,Harbin Institute of Technology,China
327,Author,['basics'],Dzh5C9EAAAAJ,AUTHOR_PROFILE_PAGE,Mosharaf Chowdhury,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Dzh5C9EAAAAJ&citpid=5,University of Michigan,"['Cloud Computing', 'Machine Learning Systems', 'Networking', 'Distributed Systems', 'Energy Efficiency']",@umich.edu,http://www.mosharaf.com/,25306,4770128543809686866,University of Michigan,USA
328,Author,['basics'],Vo52FxAAAAAJ,AUTHOR_PROFILE_PAGE,Chengliang Zhang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Vo52FxAAAAAJ&citpid=1,Hong Kong University of Science and Technology,"['machine learning', 'federated learning', 'confidential computing', 'cloud computing', 'distributed systems']",@cse.ust.hk,http://marcoszh.github.io/,741,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
329,Author,['basics'],G1Iux80AAAAJ,AUTHOR_PROFILE_PAGE,Timos Sellis,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=G1Iux80AAAAJ&citpid=4,Athena Research Center,"['Data Management', 'Data Science', 'Databases', 'Database systems', 'Spatial Databases']",@athenarc.gr,https://www.linkedin.com/in/timos-sellis-6b985657/,19201,,,
330,Author,['basics'],jCNJhFcAAAAJ,AUTHOR_PROFILE_PAGE,Beidi Chen,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=jCNJhFcAAAAJ&citpid=8,Carnegie Mellon University,['Machine Learning'],@andrew.cmu.edu,,661,17554517495610703090,Carnegie Mellon University,USA
331,Author,['basics'],QnXsco8AAAAJ,AUTHOR_PROFILE_PAGE,Mingyan Liu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QnXsco8AAAAJ&citpid=2,"University of Michigan, Electrical Engineering & Computer Science","['Networks', 'cybersecurity', 'mechanism design', 'game theory', 'cyber insurance']",@umich.edu,http://liu.engin.umich.edu/,14473,4770128543809686866,University of Michigan,USA
332,Author,['basics'],k7VhUnAAAAAJ,AUTHOR_PROFILE_PAGE,Tamal K. Dey,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=k7VhUnAAAAAJ&citpid=2,"Professor Computer Science, Purdue University","['Computational Geometry', 'Computational Topology', 'Geometric Modeling', 'Mesh Generation', 'Topological Data Analysis']",@purdue.edu,https://www.cs.purdue.edu/homes/tamaldey/,14494,9642744976452465328,Purdue University,USA
333,Author,['basics'],ExRe-64AAAAJ,AUTHOR_PROFILE_PAGE,Zheng Yang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ExRe-64AAAAJ&citpid=4,IEEE Fellow; Associate Professor; Tsinghua University,"['Internet of Things', 'Mobile and Pervasive Computing']",@tsinghua.edu.cn,http://tns.thss.tsinghua.edu.cn/~yangzheng/,13867,15442380624744264287,Tsinghua University,China
334,Author,['basics'],itPfccEAAAAJ,AUTHOR_PROFILE_PAGE,Tsz-Him Cheung,,The Hong Kong University of Science and Technology,['Machine Learning'],@connect.ust.hk,,77,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
335,Author,['basics'],MyEwZXAAAAAJ,AUTHOR_PROFILE_PAGE,Marios Hadjieleftheriou,,AT&T Labs - Research,[],@research.att.com,,6964,,,
336,Author,['basics'],MvyO9jAAAAAJ,AUTHOR_PROFILE_PAGE,S Muthukrishnan,,Rutgers Univ,[],@cs.rutgers.edu,,28934,3903766639137847059,Rutgers University,USA
337,Author,['basics'],RXYByEwAAAAJ,AUTHOR_PROFILE_PAGE,Chua Kee Chaing,,National University of Singapore,['Communication Networks'],@nus.edu.sg,,10054,83442941566286721,National University of Singapore,Singapore
338,Author,['basics'],MfLLOyMAAAAJ,AUTHOR_PROFILE_PAGE,Amotz Bar-Noy,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MfLLOyMAAAAJ&citpid=2,"Professor of Computer Science, City University of New York (CUNY)",['Algorithms'],@sci.brooklyn.cuny.edu,http://www.sci.brooklyn.cuny.edu/~amotz/,11093,8114794062808693116,City University of New York,USA
339,Author,['basics'],MA4RSrwAAAAJ,AUTHOR_PROFILE_PAGE,Oscar Kin Chung Au,,Unknown affiliation,"['Computer Graphics', 'Human Computer Interaction']",,,2297,,,
340,Author,['basics'],rfuMoPUAAAAJ,AUTHOR_PROFILE_PAGE,Peng CHENG,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rfuMoPUAAAAJ&citpid=8,School of Software Engineering at East China Normal University,"['Spatial Crowdsourcing', 'Crowdsourcing', 'Ridesharing', 'Smart Transportation']",@sei.ecnu.edu.cn,http://cspcheng.github.io/,1135,3053237942441001602,East China Normal University,China
341,Author,['basics'],9BEmtIwAAAAJ,AUTHOR_PROFILE_PAGE,Tao Jiang,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9BEmtIwAAAAJ&citpid=2,Huazhong University of Science and Technology,"['Coding and Modulation', 'Massive MIMO', 'Intelligent symbiotic communication', 'Satellite-ground integration network']",@ieee.org,http://ei.hust.edu.cn/teacher/jiangtao/index.html,18082,,,
