container_type,filled,scholar_id,source,name,url_picture,affiliation,interests,email_domain,homepage,citedby,organization,org_name,org_country,Lat,Long,,,,,list,,
Author,['basics'],BHQiBpQAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Jiaxin Bai,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=BHQiBpQAAAAJ&citpid=1,Hong Kong University of Science and Technology,['Natual Language Processing'],@connect.ust.hk,http://bjx.fun/,189,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,Denmark,,114.109497
Author,['basics'],IJAU8KoAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Bin CUI,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=IJAU8KoAAAAJ&citpid=2,"Professor of Computer Science, Peking University","['Database', 'Big Data analytics', 'ML Systems']",@pku.edu.cn,https://cuibinpku.github.io/,10298,1.07E+19,Peking University,China,35.86166,104.195396,,,,,New Zealand,,104.195396
Author,['basics'],16J3izoAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Alina Oprea,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=16J3izoAAAAJ&citpid=3,Northeastern University,"['Computer Security', 'Adversarial Machine Learning', 'AI Security']",@neu.edu,http://www.ccs.neu.edu/home/alina,9342,5.58E+16,"Northeastern University, Boston",USA,37.09024,-95.712891,,,,,Turkey,,-95.712891
Author,['basics'],tMY31_gAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Dong Yu (俞栋),https://scholar.googleusercontent.com/citations?view_op=view_photo&user=tMY31_gAAAAJ&citpid=5,"Distinguished Scientist @ Tencent AI Lab, ACM/IEEE/ISCA Fellow","['automatic speech recognition', 'speech processing', 'natural language processing']",@global.tencent.com,https://sites.google.com/view/dongyu888/,58755,,,,#N/A,#N/A,,,,,Australia,,#N/A
Author,['basics'],Y04jWe8AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Yun WANG,,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,"['cyber security', 'cloud computing']",@cse.ust.hk,,145,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,India,,114.109497
Author,['basics'],wwb5LGsAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,David W. Cheung,,"Professor of Computer Science, The University of Hong Kong","['Data Base', 'Data Mining', 'Cloud Database Security']",@cs.hku.hk,,16745,2.53E+18,University of Hong Kong,Hong Kong,22.396427,114.109497,,,,,Finland,,114.109497
Author,['basics'],cs3CM7wAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Ali Asadi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=cs3CM7wAAAAJ&citpid=2,"Ph.D. Student, IST Austria",[],@ist.ac.at,https://ali-asadi.com/,32,1.15E+19,"Institute of Science and Technology, Austria",Austria,47.516232,14.550072,,,,,Norway,,14.550072
Author,['basics'],WZoAh-gAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Binay Bhattacharyya,,Unknown affiliation,[],@cs.sfu.ca,,2466,,,,#N/A,#N/A,,,,,Germany,,#N/A
Author,['basics'],e42JkYIAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,William K. Cheung,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=e42JkYIAAAAJ&citpid=2,"Professor of Computer Science, Hong Kong Baptist University","['Data Mining', 'Artificial Intelligence', 'Health Informatics', 'Social Network Analysis']",@comp.hkbu.edu.hk,https://www.comp.hkbu.edu.hk/~william/,4445,5.46E+18,Hong Kong Baptist University,Hong Kong,22.396427,114.109497,,,,,Japan,,114.109497
Author,['basics'],1xTR6qoAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Yue Wu,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=1xTR6qoAAAAJ&citpid=1,"Hong Kong University of Science and Technology, Huawei Noah's Ark Lab",['Computer vision'],@connect.ust.hk,https://yuewuhkust.github.io/,198,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,Taiwan,,114.109497
Author,['basics'],NPvO1IoAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Zifan Shi,,HKUST,"['Computer Vision', 'Generative Model', '3D Vision']",@connect.ust.hk,https://vivianszf.github.io/,91,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,United Arab Emirates,,114.109497
Author,['basics'],SLgWQLEAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Bo Li,,Chair Professor at hong kong university of science and technology,"['computer communications', 'computer networks', 'multimedia communications']",@cse.ust.hk,,32335,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,Egypt,,114.109497
Author,['basics'],prT6OvEAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Kar Yan Tam,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=prT6OvEAAAAJ&citpid=3,Hong Kong University of Science and Technology,"['Fintech', 'Social Media', 'Personalization']",@ust.hk,,22373,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,Ireland,,114.109497
Author,['basics'],FsLinOIAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Xie Dong,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FsLinOIAAAAJ&citpid=2,chinese academy of sciene,['cancer biology'],@sibs.ac.cn,http://www.nutrition.ac.cn/PI_xied.asp,10591,,,,#N/A,#N/A,,,,,Poland,,#N/A
